identifier,Title (Sindhi),Author (English),Year,Author (Sindhi),Title (English),Publisher,Language,Thumbnail,Link
san2020-119,سڏن مٿي سڏڙا,Ali Ahmed Brohi,1996,علي احمد بروهي,Sadan mathe sadRa,"Sindhi Saahat Ghar, Hyderabad.",sindhi,,
san2020-122,سنڌ مسلمانن جي فتح کان اڳ (جلد ٻيو),H. T. Lambrick,1990,ايڇ. ٽي. لئمبرڪ (سنڌيڪار سومار علي سومرو),Sindh Before Muslim Conquest,"Sindhi Adabi Board, Jamshoro.",sindhi,,
san2020-266,سوڍن جي صاحبي يا راڻن جو راڄ,Bherumal Maharchand Advani,1990,ڀيرومل مهرچند آڏواڻي,Sodhan ji Saahibi,"Gulshan Publications, Hyderabad.",sindhi,,
san2020-304,اک سور (ناول),Rabindranath Tagore,1983,رابندرناٿ ٽئگور (سنڌيڪار چوهڙ مل هندوجا),Akh Soor,"Sahitya Academy, New Delhi.",sindhi,,
san2020-44,آئرويدڪ جڙي ٻوٽين سان آسان علاج,Khempal Sharma,2007,کيمپال شرما,Ayervedic Jarri Bootiyan Saan Aasan Ilaaj,"Kavita Publication, Hyderabad",sindhi,,
san2020-98,ديوان قلندر,Illahi Bux Shaikh,1998,الاهي بخش شيخ,Deewan e Qalandar,Unknown,sindhi,,
san_0004,هڪ جُلدي سنڌي لُغت,Dr. Nabi Bakhsh Baloch,2006,ڊاڪٽر نبي بخش بلوچ,Sindhi Dictionary,Sindhi Language Authority,sindhi,,
san_0049,ماهوار سنڌو فيبروري (1938),Boolchand Wasoomal Rajpal,1938,بولچند وسومل راجپال,Monthly Sindhu February 1938,Boolchand Wasoomal Rajpal,sindhi,,
san_0132,آفتاب عشق (شاعري),Dadan Faqeer,1989,دادن فقير,Aaftab e Ishq,"Sultan Faqeer Solangi, Radhan.",sindhi,,
san_0168,اڀر چنڊ پس پرين,Shaikh Ayaz,1990,شيخ اياز,Ubhr chandra pasu preen,New Fields Publications,sindhi,,
san_0191,سنڌي پهريون ڪتاب 1999,Anwar Ali Zangejo,1999,انور علي زنگيجو,Sindhi Pahreon Kitab 1999,"Sindh Text Book Board, Jamshoro",sindhi,,
san_0291,آزاديء جا ڳاڙها جھنڊا (شاعري),Ajiz Sargani,,عاجز سرگاڻي,Aazadia ja GaRha jhanDa,JSMM,sindhi,,
san_0316,ڪتين ڪر موڙيا جڏهن (ڀاڱو پهريون),Shaikh Ayaz,1992,شيخ اياز,Katyun kur moRya jaDDahin (Poetry) Part I,New Fields Publications,sindhi,,
san_0382,سنڌ متحده محاذ ۽ ون يونٽ,G. M. Syed,1987,جي ايم سيد,Sindh mutahida mahaz ain wan unit,Sindhyat Parast,sindhi,,
san_0418,ڍڳي ۽ گڏھ جي ڳالھ,Qasim Soomro,2003,قاسم سومرو,Dhagey ain Gadah jee Galhi,Roshni Publications,sindhi,,
san_0420,تحريڪ آزاديءَ ۾ سنڌ جي عالمن جو حصو,Dr Mazharuddin Soomro,2008,ڊاڪٽر مظهر الدين سومرو,Tahreek-e aazadi mein Sindh je aaliman jo kirdar,"Naqsh Publications, Karachi.",sindhi,,
san_0579,جيڪي منهنجي من ۾ آهي (ڪهاڻيون),Najam Abbasi,1974,نجم عباسي,Jekee munhinje mann mein aahe,"Zeb Adabi Markaz, Hyderabad.",sindhi,,
san_0760,ڪالا باغ ڊيم,Aslam Khwaja,1998,اسلم خواجه,Kalabagh Dam,"Kitab Publishers, Karachi.",sindhi,,
san_0767,سنڌ جو سوال,Abdullah Hussain Haroon,2015,عبدالله حسين هارون,Sindh jo swal,"Sindh 21-Century Forum, Karachi.",sindhi,,
san_0773,هٿ ريکائن کان خالي (ناول),Mahmood Mughal,1991,محمود مغل,Hatha Rekhaun Khaan Khali (Novel),"Naari Publications, Hyderabad.",sindhi,,
san_0790,اٺون ماڻهون (ڪهاڻيون),Siraj,1991,سراج,Athoon Manhoon (Short Stories),New Fields Publications,sindhi,,
san_0679,پلصراط (جيل جي ڊائري),Dodo Maheri,1998,ڊاڪٽر دودو مهيري,Pul-saraat,New Fields Publications,sindhi,,
san_0701,ڪامريڊ حيدر بخش جتوئي: هڪ مطالعو,Sikandar Mallah,2001,سڪندر ملاح,Comrade Hyder Bakhsh Jatoi: hiku mutalio,"Marui Academy, Sakrand/Hyderabad.",sindhi,,
san_0732,ڊائبيٽز جا مکيه ڪارڻ ۽ انجو صحيح علاج,Lekhraj Kirpaldas Rajani,2002,ليکراج ڪرپالداس راجاڻي,Diabetes ja mukhya karaN ain ilaaj,Unknown,sindhi,,
san2020-141,مشرقي شاعريءَ جا فني قدر,Ghulam M. Girami,1992,غلام محمد گرامي,Mashraqi Shaeri Ja Fani Qadar,"Sindhi Adabi Board, Jamshoro.",sindhi,,
san2020-156,دونهاٽيل درشن,Sultana Waqasi,1984,سلطانه وقاصي,Doonhatial Darshan (Poetry),"Aagam Publishing Agency, Hyderabad.",sindhi,,
san2020-158,شيخ اياز جلد 4 (شاعري),Shaikh Ayaz,2009,شيخ اياز,Shaikh Ayaz Vol: 4 (Poetry),"Sindhica Academy, Karachi.",sindhi,,
san2020-160,منصور حلاج (هڪ باغي هڪ انقلابي),Younis Adeeb,2001,يونس اديب (سنڌيڪار خالد چانڊيو),Mansoor Hallaj,"Mohen-jo-Daro Publishing Agency, Larkano.",sindhi,,
san2020-168,تاريخ جو سبق,Dr. Mubarak Ali,1984,ڊاڪٽر مبارڪ علي (سنڌيڪار غلام محمد لاکو),Tareekh Jo Sabak,"Grammy Publications Dolatpur Nawab Shah, Sindh.",sindhi,,
san2020-169,انمول سنڌي گرامر,Shafi Muhammad H. M. S. Shaikh,1981,شفيع محمد ايڇ - ايم - ايس - شيخ,Anmol Sindhi Grammar,Unkown,sindhi,,
san2020-181,گانڌي ويچار,Deepchandar Tilokchand,1945,ديپچندر تلوڪچند,Gandhi Vechaar,"Dipchandra Tilokchand, Hyderabad.",sindhi,,
san2020-189,جنگ ۽ امن (ناول جو اختصار),Leo Tolstoy,1985,ليئو ٽالسٽاءِ (سنڌيڪار بهاري لال),War and Peace,"Rabel Publications, Larkano.",sindhi,,
san2020-203,نرالي زندگي (آتم ڪهاڻي),Naraindas R. Malkani,2017,نارائڻداس رتنمل ملڪاڻي,Nerali Zindagi,"Naon Niyapo Academy, Karachi.",sindhi,,
san_0059,انور پيرزادي جون ڪهاڻيون,Anwar Pirzado,2019,انور پيرزادو,Anwar Pirzade joon kahaNyoon,Peacock Publishers & Anwar Pirzado Academy,sindhi,,
san_0095,ڇاتين جي سائنسي ڄاڻ,Murtaza Dharejo,2000,سنڌيڪار مرتضى ڌاريجو,Chhatiyun je saainsi JaaN,Sindhica,sindhi,,
san_0123,شهر جي ڳالھ (ناول),Akbar Soomro,2009,اڪبر سومرو,Shehar Jee Galeh [Novel],"Kavita Publications, Hyderabad.",sindhi,,
san_0242,تن ۾ تؤنس پرين جي پيان نہ ڍاپان (مضمون، مقالا ۽ ڪهاڻيون),Dr. Mumtaz Bhutto,2010,ڊاڪٽر ممتاز ڀٽو,Tan mein tauns preen jee,"Bilawal Institute of Historical Reasearch, Nawabshah.",sindhi,,
san_0251,سٺ، ستر، اسي (چونڊ ڪهاڻيون),Ghulam Nabi Mughal,1989,غلام نبي مغل,"Sath, Satar, Asi [60, 70, 80]","Sohni Publications, Hyderabad.",sindhi,,
san_0472,وجوديت واد ۽ انسان دوستي,Jean-Paul Sartre,2015,ژان پال سارتر (سنڌيڪار بدر اڄڻ),Wujodiat-waad ain Insaan-dosti,"Sindh Adabi Academy, Karachi.",sindhi,,
san_0485,ڪال گرل (ڪهاڻيون),Lachman Dev Bijlani,2013,لڪشمڻ ديو بجلاڻي,Call Girl,Nari Lachhwani,sindhi,,
san_0506,اسان جيئن جيئي ڀلا ڪو جهان ۾ ! ۔,Abdul Wahid Aresar,1998,عبدالواحد آريسر,Asaan jeean jeeay ko (Experiences of Torture Cell & Pieces of Note Book),"Bhittai Communications, Tando Adam.",sindhi,,
san_0517,امير پيءُ غريب پيءُ,Robert Toru Kiyosaki,2009,رابرٽ ڪيوساڪي (سنڌيڪار غلام سرور ٻگھيو),"Ameer peeu, ghareeb peeu","Grami Publications, Daulatpur.",sindhi,,
san_0631,سماجي معاهدو,Jean-Jacques Rousseau,2006,ژان ژاڪ روسو (سنڌيڪار حسين بادشاھ),Samaji Muahido,"Roshni Publications, Kandiaro",sindhi,,
san_0660,ساريون ۽ چانور,M. D. Qureshi,1957,ايم ڊي قريشي,Saariyoon ain chanwar,"Naeen Kheti Publications, Hyderabad.",sindhi,,
san_0830,پکين جي پارليامينٽ,Khwaja Farid u din Ataar,2007,خواجه فريدالدين عطار,Pakhiun jee parliament,"Roshni Publications, Kandiaro.",sindhi,,
san_0832,پاڇي (ڪهاڻيون),Mushtaque Bhurgari,1999,مشتاق ڀرڳڙي,Paachi (Short Stories),"Rim Jhim Publications, Dadu.",sindhi,,
san_0865,ماهوار سهڻي (مئي 1974),Tariq Ashraf,1974,طارق اشرف,Monthly Sohni (May 1974),"Sohni Publishers Hyderabad, Sindh.",sindhi,,
san_0873,"ماهوار ""تحريڪ"" (آڪٽوبر 1973)",Qasim Pathar Sindhi,1973,قاسم پٿر سنڌي,"Monthly ""Tahreek"" (October 1973)","Suhani Printers, Hyderabad.",sindhi,,
san_0875,ماهوار سهڻي (جون 1974),Tariq Ashraf,1974,طارق اشرف,Monthly Sohni (June 1974),"Sohni Publishers Hyderabad, Sindh.",sindhi,,
san_0310,(اجھاميو ٻران (ناول,Zaffar Junejo,2015,ظفر جوڻيجو,Ujhamio Baraan,"Kavita Publications, Hyderabad.",sindhi,,
san_0466,سنڌ جي ماحولياتي لوڪ ڏاهپ,Nawaz Kumbhar,2015,نواز ڪنڀر,Sindh jee maaholiyati lok-dahap,"Department of Culture, Sindh.",sindhi,,
san_0381,هر گنيو,Akhund Abdulrahim Wafa Abbasi,1993,آخوند عبدالرحيم وفا عباسي,Har Gunyo,Sindhi Language Authority,sindhi,,
san2020-144,ٻيڙي ۾ چنڊ (ٻارن لاءِ سرجيل شاعري),Yasir Qazi,2012,ياسر قاضي,Beri'a Mein Chand (Poetry for Children's),"Popat Publishing House, Mall Road Khairpur.",sindhi,,
san_0215,سنڌ جي آنءُ ڄائي آهيان (ڪوِتائون),Devi Nagrani,2009,ديوي ناگراڻي,Sindh jee aaanu Jaai Aahiyan,Sindh Adabi Academy,sindhi,,
san_0119,عقل ۽ مذهب,Thomas Paine,2002,ٿامس پين (ترجمو ضمير),Aqul ain mazhab,"Dahap Book Series, Sanghar.",sindhi,,
san_0529,سنڌين جي شڪست جا ڪارڻ (تاريخي جائزو),Ikram Sagar Abbasi,1998,اڪرام ساگر عباسي,Sindhyan Jee Shikast Ja Karana,Sindhica,sindhi,,
san_0648,نشانا چپن جا (غزل),Wishal Ameer,2005,وشال امير,Nishana chapan ja,"New Thinkers Forum, Hyderabad.",sindhi,,
san2020-30,اي سنڌ جا سنڌيو !,Noor Ahmed Memon,2008,نور احمد ميمڻ,Ae Sindh ja Sindhiyo,"Sindh Forum, Karachi.",sindhi,,
san_0101,ڪمپائونڊر,Noor Mohammad Durani,1957,نور محمد غلام حسين دوراني,Compounder,Unknown,sindhi,,
san2020-276,ناميارا سائنسدان جلد 3,Qazi Manzar Hayat,2009,قاضي منظر حيات,Namyara Sciensdan (Vol. 3),"Sindhi Language Authority, Hyderabad.",sindhi,,
san_0320,جديديت پڄاڻان (سماج ۽ ادب),Abdul Ghafoor Memon,2016,عبدالغفور ميمڻ,Jadeediat PuJaNan,"Sindhi Shubo, Karachi University, Karachi.",sindhi,,
san_0359,سونهن جون سو صورتون (شاعري),Shah Mohammad Pirzado,2015,شاھ محمد پيرزادو,Soonhan joon sau sooratoon,Shahrzad,sindhi,,
san_0663,اڳي ايئن هياس - يادگيريون (جلد ٻيون),Fazal Ahmed Bachani,1985,فضل احمد بچاڻي,Age enan huyas .... (Memoirs) Vol 2,New Fields Publications,sindhi,,
san_0375,متان وساريو,Anwar Pirzado,2007,انور پيرزادو,Mataan wisaryo,Anwar Pirzado Academy,sindhi,,
san_0007,ٻارن لاءِ لوڪ ڪهاڻيون (ٻيون حصو),Fazul Rahman Memon,1997,فضل الرحمان ميمڻ,Baaran Lai Lok kahaniyun (Biyo Hiso),Sindhica,sindhi,,
san_0843,جاگرافيءَ جي لغت,Rizwan Gul,2012,رضوان گل,Dictionary of Geography (English to Sindhi),"Sindh Language Authority Hyderabad, Sindh.",sindhi,,
san_0331,سنڌ سڏي ٿي پئي (شاعري),Muzaffar Chandio,2016,مظفر چانڊيو,Sindh aDe thee paee,"Paroor Publications, Karachi.",sindhi,,
san_0526,اسلام جو معاشي نظام,Shabbir Ahmed Bhutto,2010,شبير احمد ڀٽو,islaam jo muaashi nizaam,Unknown,sindhi,,
san_0534,سنڌ قومي ڪانفرنس,Muzaffar Kalhoro,2005,مظفر ڪلهوڙو,Sindh Qoumi Conference 2005,"Sorath Publications, Hyderabad.",sindhi,,
san_0677,درد بڻيو دلربا (پرڏيهي ڪهاڻيون),Bhavan Sindhi,2015,ڀون سنڌي,Dard baNyo dilruba,"Naon Niyapo Academy, Karachi.",sindhi,,
san_0326,حيثيت (ناول),Amar Gopalani,2016,امر گوپلاڻي,Hesiat,Amarlal Gopalani,sindhi,,
san_0383,مسلم ليگ جي مخالفت ڇو,G. M. Syed,1956,جي ايم سيد,Mulsim leeg jee mukhalifat chho,G. M.Syed,sindhi,,
san2020-217,ابتدائي تعليم جي سکيا,Michael L. Henniger,2005,سنڌيڪار محمد احمد منصور عباسي,Ibtidai Taaleem Jee Sikhya,"Sindhica Academy, Karachi.",sindhi,,
san_0060,فائوسٽ,Johann Wolfgang von Goethe,2002,گوئٽي (سنڌيڪار ڄيٺمل پرسرام),Faust,Roshni Publications,sindhi,,
san_0104,انگي حساب,Shaikh Abdul Haq,1917,شيخ عبدالحق,Angi Hisaab,Unknown,sindhi,,
san_0377,سنڌي آوازن جا تبادلا,Mohammad Soomar Shaikh,1992,محمد سومار شيخ,Sindhi aawazan ja tabaadila,Sindhi Language Authority,sindhi,,
san_0497,ڪامريڊ حيدر بخش جتوئي جا ٽي تاريخي پمفليٽ,Hyder Bakhsh Jatoi,2010,حيدر بخش جتوئي,Comrade Hyder Bakhsh Jatoi ja tre tarikhi pamphlet,Hyder Bakhsh Jatoi Academy,sindhi,,
san2020-139,سنڌ منهنجي نظر ۾,Richard F. Burton,2008,رچرڊ ايف بَرٽَن (سنڌيڪار عطا محمد ڀنڀرو),Sindh Munhinjee Nazar Mein,"Sindhica Academy, Karachi.",sindhi,,
san_0373,قومي تحريڪ (پهريون حصو، بنياد ۽ مرحلا),Abdul Wahid Aresar,,عبدالواحد آريسر,Qoumi tahreek,Unknown,sindhi,,
san_0741,لعل پشپ ( آتم جيوني - تواريخ - ناول),Lal Pushp,2002,لعل پشپ,Lal Pushp aatam jeewni,Lal Pushp,sindhi,,
san2020-261,گل ڇنو گرنار جو,Yasir Qazi,2015,ياسر قاضي,Gul chhino girnar jo,"Sindhrri Kitabi Silsilo, Karachi.",sindhi,,
san_0605,سنڌي ٻولي سٿ جي جوڙجڪ,Sindhi Boli Sath,1990,سنڌي ٻولي سٿ,SINDHI BOLI SATH jee joR jak,Sindhi Boli Sath | سنڌي ٻولي سٿ,sindhi,,
san2020-21,صحت ساٿي,Bhagwan C. Thadhani,1992,ڀڳوان سي ٿڌاڻي,Sehat Saathi,Unknown,sindhi,,
san_0286,سنڌوءَ جو سفر 1831,Alexander Burnes,1994,اليگزينڊر برنس (ترجمو عطا محمد ڀنڀرو),Sindhua jo Safar,,sindhi,,
san_0606,مغربي پاڪستان لئنڊ روينيو ائڪٽ 1967,Government of West Pakistan,1967,اولهه پاڪستان حڪومت,Maghrabi Pakistan Land Revenue Act 1967,"Information Department, Government of West Pakistan.",sindhi,,
san_0847,ماهوار ”نئين زندگي“ (اپريل 1972),Shamshir-ul-Hyderi,1972,شمشيرالحيدري,"Monthly ""Naeen Zindagi"" (April 1972)","Pakistan Publications, Karachi.",sindhi,,
san_0222,ماڻڪ جي بريف ڪيس مان (اڻڇپيل ناوليٽ ”پڇتاءُ“ سميت),Munawar Siraj,2014,منور سراج,MaNik je briefcase maan,"My Publications, Sakhar.",sindhi,,
san_0120,سنڌ ارغون دور ۾ (ٻہ ارغون حڪمران ۽ هزارين سنڌين جو رت),Ikram Sagar Abbasi,2000,اڪرام ساگر عباسي,Sindh arghoon daur mein,"Naon Niyapo Academy, Karachi.",sindhi,,
san_0697,سنڌ جا سياسي ڪردار,Dr. Hameed Soomro,2016,حميد سومرو,SINDH JA SIYASI KIRDAR,"Zohaina Publications, Karachi.",sindhi,,
san_0900,ٽماهي نيوز اينڊ اوپينين (جولاءِ-سيپٽيمبر 2010),Rozina Junejo,2010,روزينه جوڻيجو,Quarterly News & Opinion (July-Sep 2010),Zafar Junejo,sindhi,,
san2020-148,جي ايم سيد (فڪر، جدوجهد ۽ ڪردار),Khaliq Junejo,2002,خالق جوڻيجو,"G. M. Sayed (Fikkir, Jiddojehad Aeen Kirdar)","G. M. Sayed Literary Society, Karachi.",sindhi,,
san2020-166,اقتصادي انصاف,John Ruskin,1964,غلام رضا نواز علي ڀٽو,Iqtsadi Insaaf,"Sindhi Adabi Board, Hyderabad Sindh.",sindhi,,
san2020-174,ون يونٽ ۽ سنڌ (سنڌ جي سياسي تاريخ...),Aijaz Qureshi,2013,پروفيسر اعجاز احمد قريشي,Wan Unit Aen Sindh (Sindh Ji Siyasi Tareekh...),"Peacock Publishers, Karachi Sindh.",sindhi,,
san2020-207,انسان جي تاريخ (حصو ٻيو),Habibullah Siddiqui,2002,حبيب الله صديقي,Insan Jee Tareekh (Vol. 2),"Habib Siddiqui Academy, Jamshoro.",sindhi,,
san2020-38,سچل سرمست,Aslam Sandeelo,1990,اسلم سنديلو,Sachal Sarmast,"Department of Culture, Sindh.",sindhi,,
san2020-57,ڳالهيون آهن ڳچ (سفرنامو),Altaf Shaikh,1999,الطاف شيخ,Galhiyun Aahin Gach,"Roshni Publication, Kandiaro.",sindhi,,
san_0110,چار مقالا (سنڌي ناول، سنڌي ڊراما، سنڌي افسانہ، سنڌي مضمون),Mohammad Ismail Ursani,1967,محمد اسماعيل عرساڻي,Chaar Maqala,"Ronaq Publications, Hyderabad.",sindhi,,
san_0438,ادب جا فڪري محرڪ,Dr. Alladad Bohyo,1984,ڊاڪٽر الهداد ٻوهيو,ADABA JA FIKRI MUHARRIKA (Intellectual Dynamics of Literature),Sindhi Adiban ji Sahkari Sangat,sindhi,,
san_0441,سنڌي پهاڪا ۽ محاورا 1996,Dr. Murlidhar Kishinchand Jetli,1996,ڊاڪٽر مرليڌر ڪشنچند جيٽلي,Sindhi Pahaka ain Muhavara (A Study of Sindhi Proverbs and Idioms),"Roshni Publication, Kandiaro",sindhi,,
san_0445,شھر,Imdad Hussaini,2000,امداد حسيني,Shahr [City],"Sijj Publications, Hyderabad.",sindhi,,
san_0524,فرينچ انقلاب (هڪ هاريءَ جي ٻڌايل ڪهاڻي),Erckmann-Chatrian,1990,سنڌيڪار محمد ابراهيم جويو,The Story of a Peasant / Histoire d'un Paysan,New Fields Publications,sindhi,,
san_0562,ورهاڱي کانپوءِ سنڌي ناول (آغا سليم، سراج ۽ علي بابا جو تنقيدي جائزو),Faiz Junejo,1995,فيض جوڻيجو,Wirhange khaan poi Sindhi navil,Faiz Junejo,sindhi,,
san_0750,آسان سنڌي ڪتاب (غير مادري زبان) چوٿين ڪلاس لاءِ,Dr. Ghulam Ali Allana & Dr. Abdul Karim Sandeelo,1996,ڊاڪٽر غلام علي الانا ۽ ڊاڪٽر عبدالڪريم سنديلو,Aasan Sindhi Kitab (Gher Madri Zuban),"Sindh Text Book Board, Jamshoro",sindhi,,
san_0778,انقلابي ماءُ (سوانح حيات),Azad Qazi,1989,سنڌيڪار آزاد قاضي,Inqilabi Maau (Biography),New Fields Publications,sindhi,,
san_0781,منهنجي آکاڻي,Ghulam Mohammad Laghari,1985,ڪامريڊ غلام محمد لغاري,Munhinji Aakhani,"Sindhi Sahat Ghar, Hyderabad.",sindhi,,
san_0799,اوڪسفورڊ باتصوير انگريزي-سنڌي ڊڪشنري,E C Parnwell,1995,سنڌيڪار جاويد ڀٽو,Oxford Picture Dictionary (English-Sindhi),Oxford University Press,sindhi,,
san_0802,وکر سو وهاءِ (ديوان عليءَ مان اقتسابات),Hazrat Ali,1987,حضرت علي (سنڌيڪار محبوب علي جوکيو),Wakhar so wihaai,"Sindhi Writers' Co-operative Society, Hyderabad.",sindhi,,
san_0672,سڄڻ ۽ ساڻيهه (يادگيريون),Ardo Utradi,2018,ارڏو اترادي,SajaN ain SaNeh,"Aakash Press, Hyderabad.",sindhi,,
san_0738,سنڌ هڪ عام جائزو (جلد پهريون),H. T. Lambrick,2010,ايڇ ٽي لئمبرڪ (مترجم سليم احمد),Sind [Sindh] a General Introduction,"Sindhi Adabi Board, Jamshoro.",sindhi,,
san2020-249,ابتدائي سياسي تعليم,Jawaharlal Nehru,1987,جواهر لعل نهرو,Ibtidaai siyaasi taaleem,"Roshni Publications, Kandiaro.",sindhi,,
san2020-277,جيڪي ڏٺو مون,Gurdas Wadhwani,1980,گرداس واڌواڻي,Jeki Ditho moon,Gurdas Wadhwani,sindhi,,
san_0006,سنڌ جو آواز,Dr. Mubarak Ali,2001,ڊاڪٽر مبارڪ علي,Sindh jo Avaaz [Voice of Sindh],"Fiction House, Lahore.",sindhi,,
san_0011,اڪبر بيربل جا چرچا,Taufiq Ahmed,2000,توفيق احمد,Akbar Beerbal ja Charcha,Maulvi Aziz Kutub Khano,sindhi,,
san_0021,سياڻو ڪوري,Atta Muhammad Bhanbhro,1995,عطا محمد ڀنڀرو,Siano Kori,Sindhi Language Authority,sindhi,,
san_0032,ماحوليات بابت ٻاراڻو ڪتاب (رنگين),Aftab Abro,1996,آفتاب ابڙو,Maaholiaat babat BaraNo kitab (rangeen),Sindhica,sindhi,,
san_0042,ڳجھارتون,Hidayat Ali Barecho,2000,هدايت علي باريچو,Gujhartoon,Shama Book Depot,sindhi,,
san_0044,چڙھ چڪيائي چوٽيين,Qadir Magsi,1996,قادر مگسي,ChaRH chukyaee chotieen,"Sorath Publications, Hyderabad.",sindhi,,
san_0161,دادن فقير جو چونڊ ڪلام,Ali Gul Khoso,2007,علي گل کوسو,Dadan Faqeer jo choonda kalaam,"Roshni Publications, Kandiaro",sindhi,,
san_0167,اسان جو عشق اڻپورو (شاعري),Saeed Memon,2010,سعيد ميمڻ,Asaan jo Ishq aNpooro,"SLATE, Danish-Gah-e-Mansooria Aashram, Tando Qaiser.",sindhi,,
san_0193,شينهن ۽ ڪُئي جي ڳالھِ,Qasim Soomro,2001,قاسم سومرو,Sheenhan ain kuey jee Galhi,Roshni Publications,sindhi,,
san_0195,سنڌيڪا لغت (هڪ جُلدي),Abdul Sattar Baluch,2006,عبدالستار بلوچ,Sindhica Lughat (Single Volume),Sindhica,sindhi,,
san_0299,اڙي شهر جانان (شاعري),Haleem Baghi,2005,حليم باغي,ARe shahre janaan,"Sindh publications, Umar Kot.",sindhi,,
san_0301,سنڌ ڪيئن آزاد ٿيندي؟,Qamar Bhatti,1987,قمر ڀٽي,Sindh azaad keenan theendi,"Soorih Ishaat Ghar, Jamshoro.",sindhi,,
san_0374,جنگناما,Dr. Nabi Bakhsh Baloch,1984,ڊاڪٽر نبي بخش بلوچ,Jangnaama,"Sindhi Adabi Board, Jamshoro.",sindhi,,
san_0378,جلاوطن (ڪهاڻيون),Noor-ul-Huda Shah,1991,نورالهديٰ شاھ,Jalawatan,New Fields Publications,sindhi,,
san_0468,ڪميونسٽ پڌرنامو - مارڪس ۽ اينگلس - انور پنهور,Marx & Engels,2002,مارڪس ۽ اينگلس (انور پنهور),Communist padharnamo,"Tabqaati Jadojahd Publications, Hyderabad.",sindhi,,
san_0469,تاريخ ۾ فرد جو ڪردار,G. Plekhanov,2006,پليخانوف (سنڌيڪار خاڪي جويو),taareekh mein fard jo kirdar,"Adarsh Publications, Hyderabad.",sindhi,,
san_0479,سنڌو ماٿر جي سڀيتا,Mohammed Idris Siddiqi,1979,محمد ادريس صديقي (سنڌيڪار شمس سرڪي),Sindhu Mathar jee Sabheta,"Sindhi Adabi Board, Jamshoro.",sindhi,,
san_0518,گلدستي ۾ گيت (نہ ڪم نبريو، نہ غم نبريو؛ لهري لهري ۾ لالاڻ ۽ زندگي زندگي),Ustad Bukhari,1999,استاد بخاري,Guldaste mein geeta (A Collection of Sindhi Poetry),"Roshni Publications, Kandiaro.",sindhi,,
san_0620,نيلسن منڊيلا جي آتم ڪهاڻي,Nelson Mandela,1999,نيلسن منڊيلا (سنڌيڪار يوسف سنڌي),Nelson Mandela jee aatam kahaNi,New Fields Publications,sindhi,,
san_0632,صحت جي سائنسي ڄاڻ,Murtaza Dharejo,2017,سنڌيڪار مرتضى ڌاريجو,Sihat jee saainsi JaaN,"Sindh Science Academy, Jamshoro.",sindhi,,
san_0635,سردار عطاءُ الله مينگل جو انٽرويو,Irshad Ahmed Haqqani,1985,ارشاد احمد حقاني (سنڌيڪار زاهد جهانگير راهوجو),Sardar Ataullah Mengal jo Interview,"Ajrak Ishaat Ghar, Jamshoro.",sindhi,,
san_0641,ڄام، ڄاموٽ ۽ ڄامڙا,Ali Ahmed Brohi,1999,علي احمد بروهي,"Jam, Jamot, JamiRa",New Fields Publications,sindhi,,
san_0646,خوابن جي پنڌ ۾ (شاعري),Wishal Ameer,2017,وشال امير,Khuwaban je pandh mein,"Sambara Publications, Hyderabad.",sindhi,,
san_0657,چڪر مال جو آ [لوڪ ادب ۾ مزاحمتي شاعري],Mohammad Juman Bhatti,2017,محمد جمن ڀٽي,Chakar maal jo aa,Sindh Sughar Lok Adab Tanzeem,sindhi,,
san_0862,ٽماهي مهراڻ (جولاءِ-ڊسمبر 1982),Nafees Ahmed Shaikh,1982,نفيس احمد شيخ,Mehran Quarterly July-December 1982,"Sindhi Adabi Board, Jamshoro.",sindhi,,
san_0868,"ماهوار ""تحريڪ"" (اپريل 1973)",Qasim Pathar Sindhi,1973,قاسم پٿر سنڌي,"Monthly ""Tahreek"" (April 1973)","Suhani Printers, Hyderabad.",sindhi,,
san_0874,ماهوار سهڻي (آڪٽوبر 1972),Tariq Ashraf,1972,طارق اشرف,Monthly Sohni (October 1972),"Sohni Publishers Hyderabad, Sindh.",sindhi,,
san_0878,ماهوار سهڻي (اپريل 1974),Tariq Ashraf,1974,طارق اشرف,Monthly Sohni (April 1974),"Sohni Publishers Hyderabad, Sindh.",sindhi,,
san2020-152,لطف اللطيف,Din Mohammad Wafai,2012,دين محمد وفائي,Lutf Al Latif,"Department of Culture, Sindh.",sindhi,,
san2020-177,زندگيءَ جو وهڪرو (ڪهاڻيون),Mumtaz Mahar,1977,ممتاز مهر,Zindagi Jo Wahkro,"Naon Daor Publication, Sukkur.",sindhi,,
san2020-187,ادبي تحريڪون ۽ تنقيدي زاويا,Khaleeque Bughio,2016,خليق ٻگھيو,Adabi tahreekoon ain tanqeedi zaaviya (Criticism),"Kanwal Publications, Qambar.",sindhi,,
san2020-102,خط ٻن اديبن جا (عبدالقادر جوڻيجو، محمد ابراهيم جويو),Jami Chandio,1999,جامي چانڊيو,Khat Bin Adeeban Ja,"Sindhi Adabi Board Printing Press, Jamshoro.",sindhi,,
san2020-127,سنڌ جي تاريخ جا وکريل ورق,Dr. Memon Abdul Majeed Sindhi,1994,ڊاڪٽر ميمڻ عبدالمجيد سنڌي,Sindh Jee Tareekh Jaa Wikhriyal Warq,Mehran Academy,sindhi,,
